Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Rb 0.75 Fe 1.63 Se 2,{},"{'Rb': 0.75, 'Fe': 1.63, 'Se': 2}",30.0,0.0,,,10.1103/physrevb.84.094504
K y Fe 1.6+x Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.84.094504
Rb y Fe 1.6+x Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.84.094504
Cs y Fe 1.6+x Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.84.094504
Tl y Fe 1.6+x Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevb.84.094504
Rb 0.75 Fe 1.63 Se 2,{},"{'Rb': 0.75, 'Fe': 1.63, 'Se': 2}",30.0,0.0,,,10.1103/physrevb.84.094504
La Co 2 P 2,{},"{'La': 1, 'Co': 2, 'P': 2}",4.0,0.0,,,10.1103/physrevb.86.014503
La Co 1.73 Fe 0.27 B 2,{},"{'La': 1, 'Co': 1.73, 'Fe': 0.27, 'B': 2}",4.1,0.0,single crystals,,10.1103/physrevb.86.014503
Ti,{},{'Ti': 1},110.0,0.0,film,,10.1088/1361-6668/aa63bc
Ti,{},{'Ti': 1},110.0,0.0,film,,10.1088/1361-6668/aa63bc
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",42.7,0.0,single crystals,,10.1209/0295-5075/95/67002
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1209/0295-5075/95/67002
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",42.7,0.0,,,10.1209/0295-5075/95/67002
Ca 0.8 La 0.2 Fe 2 As 2,{},"{'Ca': 0.8, 'La': 0.2, 'Fe': 2, 'As': 2}",42.7,0.0,,,10.1209/0295-5075/95/67002
Ca Fe 2 As 2,{},"{'Ca': 1, 'Fe': 2, 'As': 2}",42.7,0.0,,,10.1209/0295-5075/95/67002
Ca 0.8 La 0.2 Fe 2 As 2,{},"{'Ca': 0.8, 'La': 0.2, 'Fe': 2, 'As': 2}",42.7,0.0,single crystals,,10.1209/0295-5075/95/67002
Pd H,{},"{'Pd': 1, 'H': 1}",1.0,0.0,,,10.1103/physrevb.100.024422
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",85.0,0.0,,,10.1103/physreva.99.023405
Pb,{},{'Pb': 1},7.2,0.0,,,10.1007/978-3-540-73253-2_21
Bi 2 Sr 2 Ca Cu 2 O 8+δ,{'δ': []},,83.0,0.0,,,10.1007/978-3-540-73253-2_21
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,63.0,0.0,,,10.1007/978-3-540-73253-2_21
Nd 0.8 Sr 0.2 Ni O 2,{},"{'Nd': 0.8, 'Sr': 0.2, 'Ni': 1, 'O': 2}",15.0,0.0,thin film 7,,10.1103/physrevresearch.2.013214
Ru B 2,{},"{'Ru': 1, 'B': 2}",1.5,0.0,,,10.1103/physrevb.97.054506
Ru B 2,{},"{'Ru': 1, 'B': 2}",1.5,0.0,,,10.1103/physrevb.97.054506
Os B 2,{},"{'Os': 1, 'B': 2}",1.5,0.0,,,10.1103/physrevb.97.054506
Ru B 2,{},"{'Ru': 1, 'B': 2}",1.5,0.0,,,10.1103/physrevb.97.054506
Ru B 2,{},"{'Ru': 1, 'B': 2}",1.5,0.0,,,10.1103/physrevb.97.054506
Ru B 2,{},"{'Ru': 1, 'B': 2}",1.5,0.0,,,10.1103/physrevb.97.054506
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",11.0,0.0,,,10.1007/s10948-014-2686-x
La O 1-x F x Bi S Se,{'x': [0.5]},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 1, 'Se': 1}",3.8,0.0,,,10.1007/s10948-014-2686-x
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",11.0,0.0,,,10.1007/s10948-014-2686-x
Nd 0.2 Sm 0.8 O 0.7 F 0.3 Bi S 2,{},"{'Nd': 0.2, 'Sm': 0.8, 'O': 0.7, 'F': 0.3, 'Bi': 1, 'S': 2}",5.6,0.0,,,10.1007/s10948-014-2686-x
Ce 1-x Nd x (O F) Bi S 2,{'x': []},,5.6,0.0,,,10.1007/s10948-014-2686-x
La 1-x Sm x O 0.5 F 0.5 Bi S 2,{'x': []},,5.4,0.0,,,10.1007/s10948-014-2686-x
La 0.2 Sm 0.8 O 0.5 F 0.5 Bi S 2,{},"{'La': 0.2, 'Sm': 0.8, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",5.4,0.0,,,10.1007/s10948-014-2686-x
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",2.5,0.0,,,10.1007/s10948-014-2686-x
Ho Ni 2 B 2 C,{},"{'Ho': 1, 'Ni': 2, 'B': 2, 'C': 1}",8.0,0.0,,,10.1103/physrevb.57.10684
La Fe As O 1-x F x,{'x': []},,28.0,0.0,,,10.1038/ncomms1407
Fe Se Te,{},"{'Fe': 1, 'Se': 1, 'Te': 1}",14.5,0.0,,,
Cu O 2,{},"{'Cu': 1, 'O': 2}",91.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",100.0,0.0,,,
Sr F Fe As,{},"{'Sr': 1, 'F': 1, 'Fe': 1, 'As': 1}",56.0,0.0,,,
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,
K C 60,{},"{'K': 1, 'C': 60}",65.0,0.0,,,10.1081/fst-120027164
Y Ba 2 Cu 3 O 6.95,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.95}",92.74,0.0,,,10.1088/0953-8984/15/13/306
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",80.0,0.0,,,10.1103/physrevb.69.024521
Y 1-b (Ca) b Ba 2 Cu 3 O 6+x,"{'x': [], 'b': [0.2]}",,60.0,0.0,,,10.1088/1674-1056/21/11/117401
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,Films,,10.1038/nmat3648
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,,,10.1038/nmat3648
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,film,,10.1038/nmat3648
Tl Ba 2 Ca 2 Cu 3 O 9-δ,{'δ': []},,125.0,0.0,,,10.1016/j.physc.2015.09.006
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,single crystal,,10.1016/j.physc.2008.05.251
Cu 0.6 Ta 2 S 2 C,{},"{'Cu': 0.6, 'Ta': 2, 'S': 2, 'C': 1}",4.9,0.0,,,10.1103/physrevb.71.224407
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",3.61,0.0,,,10.1103/physrevb.71.224407
Cu 0.6 Ta 2 S 2 C,{},"{'Cu': 0.6, 'Ta': 2, 'S': 2, 'C': 1}",4.8,0.0,,,10.1103/physrevb.71.224407
Ni 0.25 Ta 2 S 2 C,{},"{'Ni': 0.25, 'Ta': 2, 'S': 2, 'C': 1}",8.7,0.0,,,10.1103/physrevb.71.224407
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",4.6,0.0,,,10.1103/physrevb.71.224407
Ni 0.33 Ta 2 S 2 C,{},"{'Ni': 0.33, 'Ta': 2, 'S': 2, 'C': 1}",3.82,0.0,,,10.1103/physrevb.71.224407
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",4.6,0.0,,,10.1103/physrevb.71.224407
Fe c Ta 2 S 2 C,{'c': []},,4.6,0.0,,,10.1103/physrevb.71.224407
Co c Ta 2 S 2 C,{'c': []},,4.6,0.0,,,10.1103/physrevb.71.224407
Ni c Ta 2 S 2 C,{'c': []},,4.6,0.0,,,10.1103/physrevb.71.224407
Cu c Ta 2 S 2 C,{'c': []},,4.6,0.0,,,10.1103/physrevb.71.224407
Ni 0.25 Ta 2 S 2 C,{},"{'Ni': 0.25, 'Ta': 2, 'S': 2, 'C': 1}",3.0,0.0,,,10.1103/physrevb.71.224407
Cu 0.6 Ta 2 S 2 C,{},"{'Cu': 0.6, 'Ta': 2, 'S': 2, 'C': 1}",4.6,0.0,,,10.1103/physrevb.71.224407
Cu 0.6 Ta 2 S 2 C,{},"{'Cu': 0.6, 'Ta': 2, 'S': 2, 'C': 1}",6.4,0.0,,,10.1103/physrevb.71.224407
Mc Ta 2 S 2 C,{},"{'Mc': 1, 'Ta': 2, 'S': 2, 'C': 1}",4.6,0.0,,,10.1103/physrevb.71.224407
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",3.61,0.0,,,10.1103/physrevb.71.224407
Cu c Nb 2 S 2 C,{'c': []},,7.6,0.0,,,10.1103/physrevb.71.224407
Co 0.33 Ta 2 S 2 C,{},"{'Co': 0.33, 'Ta': 2, 'S': 2, 'C': 1}",4.6,0.0,,,10.1103/physrevb.71.224407
Co 0.33 Ta 2 S 2 C,{},"{'Co': 0.33, 'Ta': 2, 'S': 2, 'C': 1}",9.8,0.0,,,10.1103/physrevb.71.224407
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevb.82.064501
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1103/physrevb.82.064501
Tl 2 Ba 2 Cu O 6-δ,{'δ': []},,15.0,0.0,,,10.1103/physrevb.82.064501
Nb,{},{'Nb': 1},9.15,0.0,single crystalline,,10.1016/s0921-4534(02)00995-4
Nb 5 Ir 3,{},"{'Nb': 5, 'Ir': 3}",10.5,0.0,,,10.1038/srep12926
Zr 5 Pt 3,{},"{'Zr': 5, 'Pt': 3}",3.7,0.0,,,10.1038/srep12926
Bi Pd,{},"{'Bi': 1, 'Pd': 1}",3.7,0.0,,,10.1038/ncomms13315
Ce (Co Rh) In 5,{},"{'Ce': 1, 'Co': 1, 'Rh': 1, 'In': 5}",10.0,0.0,,,10.1103/physrevb.81.094507
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevlett.108.107201
Li 2 Pd 3 B,{},"{'Li': 2, 'Pd': 3, 'B': 1}",8.0,0.0,,,10.1016/j.ssc.2017.03.002
La 1.88 Sr 0.12 Cu O 4,{},"{'La': 1.88, 'Sr': 0.12, 'Cu': 1, 'O': 4}",27.0,0.0,,,
Sm B C O,{},"{'Sm': 1, 'B': 1, 'C': 1, 'O': 1}",86.5,0.0,,,
Ti N,{},"{'Ti': 1, 'N': 1}",1.6,0.0,film,,10.1063/1.5016190
Ti,{},{'Ti': 1},1.6,0.0,film,,10.1063/1.5016190
Ti N,{},"{'Ti': 1, 'N': 1}",1.6,0.0,film,,10.1063/1.5016190
Eu Fe 2 As 2,{},"{'Eu': 1, 'Fe': 2, 'As': 2}",30.0,25.0,,,10.1103/physrevb.100.014503
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",89.5,0.0,crystal,,10.1103/physrevb.60.r3743
Hg Ba 2 Ca Cu 2 O 8,{},"{'Hg': 1, 'Ba': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",100.0,0.0,,,
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",55.0,0.0,,,
Hg Ba 2 Ca Cu 2 O 8,{},"{'Hg': 1, 'Ba': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",98.0,0.0,,,
Hg Ba 2 Ca 2 Cu 3 O 10,{},"{'Hg': 1, 'Ba': 2, 'Ca': 2, 'Cu': 3, 'O': 10}",127.0,0.0,,,
Hg Ba 2 Ca 2 Cu 3 O 10,{},"{'Hg': 1, 'Ba': 2, 'Ca': 2, 'Cu': 3, 'O': 10}",115.0,0.0,,,
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,
Ba Pt 2 As 2,{},"{'Ba': 1, 'Pt': 2, 'As': 2}",1.33,0.0,,,
La Pt 2 Si 2,{},"{'La': 1, 'Pt': 2, 'Si': 2}",1.8,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",87.0,0.0,,,10.1007/978-3-540-73253-2_22
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.4,0.0,,,10.1007/978-3-540-73253-2_22
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",91.0,0.0,,,10.1007/978-3-540-73253-2_22
Np Co Ga 5,{},"{'Np': 1, 'Co': 1, 'Ga': 5}",2.1,0.0,,,10.1143/jpsj.73.1285
Ce Rh In 5,{},"{'Ce': 1, 'Rh': 1, 'In': 5}",2.1,0.0,,,10.1143/jpsj.73.1285
Pu Co Ga 5,{},"{'Pu': 1, 'Co': 1, 'Ga': 5}",18.5,0.0,,,10.1143/jpsj.73.1285
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1143/jpsj.73.1285
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1143/jpsj.73.1285
La Fe As O 1-x F x,{'x': []},,7.0,0.0,,,10.1143/jpsj.77.113703
Fe Se 0.88,{},"{'Fe': 1, 'Se': 0.88}",8.0,0.0,,,10.1143/jpsj.77.113703
Pr Fe As O 0.89 F 0.11,{},"{'Pr': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.11}",45.0,0.0,,,10.1143/jpsj.77.113703
La Fe As O 1-x F x,{'x': []},,8.0,0.0,,,10.1143/jpsj.77.113703
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1143/jpsj.77.113703
Fe Se,{},"{'Fe': 1, 'Se': 1}",27.0,1.48,,,10.1143/jpsj.77.113703
Cu x Bi 2 Se 3,{'x': []},,3.2,0.0,single-crystalline,,10.1038/nphys3907
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,91.4,0.0,single-crystal,,10.1103/physrevlett.91.207001
Lu Ni 2 B 2 C,{},"{'Lu': 1, 'Ni': 2, 'B': 2, 'C': 1}",15.7,0.0,,,10.1103/physrevb.62.1291
Nb N,{},"{'Nb': 1, 'N': 1}",8.5,0.0,,,10.1063/1.4960533
Ti N Cl,{},"{'Ti': 1, 'N': 1, 'Cl': 1}",17.0,0.0,,,10.1103/physrevb.90.125145
Zr N Cl,{},"{'Zr': 1, 'N': 1, 'Cl': 1}",5.0,0.0,,,10.1103/physrevb.90.125145
U Pt 3,{},"{'U': 1, 'Pt': 3}",1.0,0.0,,,
Pr Ba 2 Cu 3 O x,{'x': []},,105.0,0.0,,,10.1103/physrevb.87.054401
Pr Ba 2 Cu 3 O x,{'x': []},,85.0,0.0,single crystals,,10.1103/physrevb.87.054401
U Ru 2 Si 2,{},"{'U': 1, 'Ru': 2, 'Si': 2}",1.5,0.0,,,10.1103/physrevlett.99.116402
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1063/1.1728867
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.5,0.0,,,10.1063/1.1728867
Mg B 1.85 C 0.15,{},"{'Mg': 1, 'B': 1.85, 'C': 0.15}",35.0,0.0,,,10.1063/1.1728867
Mg 0.88 Li 0.12 B 1.88 C 0.12,{},"{'Mg': 0.88, 'Li': 0.12, 'B': 1.88, 'C': 0.12}",32.8,0.0,,,10.1063/1.1728867
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",0.7,0.0,,,10.1103/physrevb.84.205111
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",0.7,0.0,,,10.1103/physrevb.84.205111
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",0.1,0.0,,,10.7567/1882-0786/aaf6e6
La,{},{'La': 1},0.4,0.0,,,10.7567/1882-0786/aaf6e6
Ga 0.84 In 0.16 As,{},"{'Ga': 0.84, 'In': 0.16, 'As': 1}",91.0,0.0,,,10.1103/physrevb.64.241201
Ga 0.84 In 0.16 As,{},"{'Ga': 0.84, 'In': 0.16, 'As': 1}",80.0,0.0,,,10.1103/physrevb.64.241201
Ga 0.957 Mn 0.043 As,{},"{'Ga': 0.957, 'Mn': 0.043, 'As': 1}",80.0,0.0,,,10.1103/physrevb.64.241201
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,90.0,0.0,single crystals,,10.1063/1.1633001
Y Ba 2 Cu 3 O 6.5,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.5}",56.0,0.0,single crystal,,10.1063/1.1633001
Ce Ir Si 3,{},"{'Ce': 1, 'Ir': 1, 'Si': 3}",1.6,2.6,,,10.1103/physrevlett.104.017002
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.46,0.0,,,10.1103/physrevlett.104.017002
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.75,0.0,,,10.1103/physrevlett.104.017002
La Ir Si 3,{},"{'La': 1, 'Ir': 1, 'Si': 3}",1.6,0.0,,,10.1103/physrevlett.104.017002
La (O 1-x F x) Fe As,{'x': []},,26.0,0.0,,,10.1209/0295-5075/83/27006
Y 2 O 2 Bi,{},"{'Y': 2, 'O': 2, 'Bi': 1}",2.0,0.0,,,10.1039/c9dt04640b
Cs V 3 Sb 5,{},"{'Cs': 1, 'V': 3, 'Sb': 5}",2.7,0.0,,,10.1088/0953-8984/24/18/185602
Bi 2 Sr 2 Cu O 6+x,{'x': []},,20.0,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8+x,{'x': []},,90.0,0.0,,,
Bi 2 Sr 2 Ca 2 Cu 3 O 10+x,{'x': []},,110.0,0.0,,,
Na Yb Se 2,{},"{'Na': 1, 'Yb': 1, 'Se': 2}",25.0,0.0,,,10.1103/physrevlett.118.107202
Cu 0.03 Ta S 2,{},"{'Cu': 0.03, 'Ta': 1, 'S': 2}",4.2,0.0,single crystal,,10.1088/0953-8984/22/50/505704
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",16.0,0.0,,,
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",38.0,0.0,,,
Sm Fe As O,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 1}",55.0,0.0,,,
Sm O 0.85 Fe As,{},"{'Sm': 1, 'O': 0.85, 'Fe': 1, 'As': 1}",55.0,0.0,,,10.1016/j.ssc.2008.11.028
Ce O Fe As,{},"{'Ce': 1, 'O': 1, 'Fe': 1, 'As': 1}",11.3,0.0,,,10.1016/j.ssc.2008.11.028
La O 1-x F x Fe As,{'x': []},,26.0,0.0,,,10.1016/j.ssc.2008.11.028
Ce O Fe 0.9 Co 0.1 As,{},"{'Ce': 1, 'O': 1, 'Fe': 0.9, 'Co': 0.1, 'As': 1}",11.3,0.0,,,10.1016/j.ssc.2008.11.028
Nb,{},{'Nb': 1},9.0,0.0,film,,10.1103/physrevb.86.014517
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,films,,
Bi 2 Sr 2 Cu O 6+δ,{'δ': []},,10.0,0.0,,,10.1103/physrevb.68.014505
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",1.2,0.0,,,10.1088/0953-8984/13/22/109
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,,,10.1088/0953-8984/13/22/109
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,,,10.1088/0953-8984/13/22/109
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-8984/13/22/109
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",8.5,0.0,,,10.1016/j.physb.2005.03.020
Bi 1-x K x Bi O 3,{'x': []},,30.0,0.0,,,10.1016/j.physb.2005.03.020
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",70.0,0.0,,,10.1016/j.physb.2005.03.020
Sm Fe As O 1-x F x,{'x': []},,57.5,0.0,,,10.3367/ufne.0184.201408h.0882
La 2 Cu O 4+y,{'y': []},,42.0,0.0,,,10.1103/physrevlett.120.037003
Fe Se,{},"{'Fe': 1, 'Se': 1}",9.0,0.0,,,10.1103/physrevlett.121.067002
Pd Te 2,{},"{'Pd': 1, 'Te': 2}",1.65,0.0,,,
Bi 2 Sr 2-x La x Cu O 6+δ,"{'δ': [], 'x': []}",,38.0,0.0,,,
La 2 C 3,{},"{'La': 2, 'C': 3}",11.0,0.0,,,10.1103/physrevb.46.12196
La C 2,{},"{'La': 1, 'C': 2}",1.6,0.0,,,10.1103/physrevb.46.12196
La H 10,{},"{'La': 1, 'H': 10}",260.0,170.0,,,10.1103/physrevb.46.12196
Fe S,{},"{'Fe': 1, 'S': 1}",4.55,0.0,,,10.1103/physrevb.93.104520
Pb,{},{'Pb': 1},7.2,0.0,,,10.1103/physrevb.97.014520
Pb,{},{'Pb': 1},7.2,0.0,,,10.1103/physrevb.97.014520
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,films,,10.1103/physrevb.97.224512
Fe Se,{},"{'Fe': 1, 'Se': 1}",65.0,0.0,films,,10.1103/physrevb.97.224512
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",90.0,0.0,,,10.1103/physrevb.54.4320
Y Ba 2 Cu 3 O 6.6,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.6}",60.0,0.0,,,10.1103/physrevb.84.184523
Pr 0.91 La Ce 0.09 Cu O 4-y,{'y': []},,24.0,0.0,,,10.1103/physrevlett.90.197005
Ca Be Si,{},"{'Ca': 1, 'Be': 1, 'Si': 1}",1.0,0.0,,,
Ca Be Si,{},"{'Ca': 1, 'Be': 1, 'Si': 1}",7.1,0.0,,,
K 3 B N 2,{},"{'K': 3, 'B': 1, 'N': 2}",58.4,0.0,,,
Na Al Si,{},"{'Na': 1, 'Al': 1, 'Si': 1}",7.0,0.0,,,
Na Al Si,{},"{'Na': 1, 'Al': 1, 'Si': 1}",7.0,0.0,,,
La 2-x Sr x Cu O 4,{'x': []},,110.0,0.0,,,10.1103/physrevb.65.024421
Sr Ru O 3,{},"{'Sr': 1, 'Ru': 1, 'O': 3}",110.0,0.0,,,10.1103/physrevb.65.024421
K x Fe 2 Se 2,{'x': []},,30.0,0.0,,,10.1140/epjb/e2012-30315-8
Cs 3 C,{},"{'Cs': 3, 'C': 1}",38.0,0.0,,,10.1016/j.physc.2018.08.011
Hg Ba 2 Ca 2 Cu 3 O 8+δ,{'δ': []},,160.0,30.0,,,10.7567/1882-0786/ab0521
H x Li Nb O 2,{'x': []},,2.0,0.0,,,10.1103/physrevb.74.075104
Li x Nb O 2,{'x': [0.45]},"{'Li': 0.45, 'Nb': 1, 'O': 2}",5.5,0.0,,,10.1103/physrevb.74.075104
U Te 2,{},"{'U': 1, 'Te': 2}",1.6,0.0,,,10.1103/physrevlett.124.086601
La Os 4 Sb 12,{},"{'La': 1, 'Os': 4, 'Sb': 12}",1.0,0.0,,,10.1103/physrevb.71.214521
Ce Ni 2 Ge 2,{},"{'Ce': 1, 'Ni': 2, 'Ge': 2}",0.2,0.0,,,10.1103/physrevb.71.214521
Ce Ru 2,{},"{'Ce': 1, 'Ru': 2}",6.0,0.0,,,10.1103/physrevb.71.214521
Ge 2,{},{'Ge': 2},1.1,0.0,,,10.1103/physrevb.71.214521
La Ni 2 Ge 2,{},"{'La': 1, 'Ni': 2, 'Ge': 2}",0.8,0.0,,,10.1103/physrevb.71.214521
Ce Pd 2 Ge 2,{},"{'Ce': 1, 'Pd': 2, 'Ge': 2}",0.07,0.0,,,10.1103/physrevb.71.214521
La Ru 2,{},"{'La': 1, 'Ru': 2}",4.0,0.0,,,10.1103/physrevb.71.214521
Pr Os 4 Sb 12,{},"{'Pr': 1, 'Os': 4, 'Sb': 12}",1.85,0.0,,,10.1103/physrevb.71.214521
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",7.5,0.0,,,10.1103/physrevb.81.134503
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
Rb Os 2 O 6,{},"{'Rb': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
Cs Os 2 O 6,{},"{'Cs': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
Rb Os 2 O 6,{},"{'Rb': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
Cs Os 2 O 6,{},"{'Cs': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
K Os 2 O 6,{},"{'K': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
Rb Os 2 O 6,{},"{'Rb': 1, 'Os': 2, 'O': 6}",9.6,0.0,,,10.1103/physrevb.81.134503
Ce O 0.5 F 0.5 Bi S 2,{},"{'Ce': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",7.0,0.97,,,10.1515/nsm-2016-0002
Sr 0.5 Ce 0.5 F Bi S 2,{},"{'Sr': 0.5, 'Ce': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",10.0,1.0,,,10.1515/nsm-2016-0002
Sr 0.5 Nd 0.5 F Bi S 2,{},"{'Sr': 0.5, 'Nd': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",10.0,1.0,,,10.1515/nsm-2016-0002
Sr 0.5 Pr 0.5 F Bi S 2,{},"{'Sr': 0.5, 'Pr': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",10.0,1.0,,,10.1515/nsm-2016-0002
Sr 0.5 Sm 0.5 F Bi S 2,{},"{'Sr': 0.5, 'Sm': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",10.0,1.0,,,10.1515/nsm-2016-0002
Nd O 0.5 F 0.5 Bi S 2,{},"{'Nd': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",6.2,1.68,,,10.1515/nsm-2016-0002
Sr 0.5 La 0.5 F Bi S 2,{},"{'Sr': 0.5, 'La': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",2.0,0.0,,,10.1515/nsm-2016-0002
Sr 0.5 Pr 0.5 F Bi S 2,{},"{'Sr': 0.5, 'Pr': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",2.0,0.35,,,10.1515/nsm-2016-0002
Sr 0.5 La 0.5 F Bi S 2,{},"{'Sr': 0.5, 'La': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",2.0,0.35,,,10.1515/nsm-2016-0002
